category,lawName,ENG,KOR
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Jan. 21, 2014]",[본조신설 2014. 1. 21.]
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Mar. 26, 2010]",[본조신설 2010. 3. 26.]
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Mar. 26, 2010]",[본조신설 2010. 3. 26.]
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Aug. 13, 2013]",[본조신설 2013. 8. 13.]
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Aug. 13, 2013]",[본조신설 2013. 8. 13.]
헌법,개성공업지구 지원에 관한 법률,1. The Labor Standards Act;,1. 「근로기준법」
헌법,개성공업지구 지원에 관한 법률,2. The Minimum Wage Act;,2. 「최저임금법」
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Mar. 26, 2010]",[본조신설 2010. 3. 26.]
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Mar. 26, 2010]",[본조신설 2010. 3. 26.]
헌법,개성공업지구 지원에 관한 법률,"[This Article Newly Inserted on Mar. 26, 2010]",[본조신설 2010. 3. 26.]
헌법,개성공업지구 지원에 관한 법률 시행령,"[This Article Newly Inserted on Sep. 27, 2010]",[본조신설 2010. 9. 27.]
헌법,개성공업지구 지원에 관한 법률 시행령,"[This Article Newly Inserted on Nov. 5, 2013]",[본조신설 2013. 11. 5.]
헌법,개성공업지구 지원에 관한 법률 시행령,"[This Article Newly Inserted on Sep. 27, 2010]",[본조신설 2010. 9. 27.]
헌법,개성공업지구 지원에 관한 법률 시행령,1. Its purpose;,1. 목적
헌법,개성공업지구 지원에 관한 법률 시행령,2. Its name;,2. 명칭
헌법,개성공업지구 지원에 관한 법률 시행령,1. Its purpose;,1. 목적
헌법,개성공업지구 지원에 관한 법률 시행령,2. Its name;,2. 명칭
헌법,국경일에 관한 법률,1. Independence Movement day (March 1);,1. 3·1절: 3월 1일
헌법,국경일에 관한 법률,2. Constitution day (July 17);,2. 제헌절: 7월 17일
헌법,국경일에 관한 법률,3. National Liberation day (August 15);,3. 광복절: 8월 15일
헌법,국경일에 관한 법률,4. National Foundation day of Korea (October 3);,4. 개천절: 10월 3일
헌법,국경일에 관한 법률,5. Hangul Proclamation day (October 9).,5. 한글날: 10월 9일
헌법,남북 이산가족 생사확인 및 교류 촉진에 관한 법률,"[This Article Newly Inserted by Act No. 11775, May 22, 2013]",[본조신설 2013.5.22]
헌법,남북 이산가족 생사확인 및 교류 촉진에 관한 법률,"[This Article Newly Inserted by Act No. 11775, May 22, 2013]",[본조신설 2013.5.22]
헌법,남북 이산가족 생사확인 및 교류 촉진에 관한 법률 시행령,"[This Article Newly Inserted on Nov. 20, 2013]",[본조신설 2013. 11. 20.]
헌법,남북 이산가족 생사확인 및 교류 촉진에 관한 법률 시행령,"[This Article Newly Inserted on Jan. 6, 2012]",[본조신설 2012. 1. 6.]
헌법,남북관계 발전에 관한 법률,"[This Article Newly Inserted on Dec. 29, 2020]",[본조신설 2020. 12. 29.]
헌법,남북관계 발전에 관한 법률,"[This Article Newly Inserted on Dec. 29, 2020]",[본조신설 2020. 12. 29.]
헌법,남북교류협력에 관한 법률 시행령,1. Panmunjom (truce village);,1. 판문점
헌법,남북교류협력에 관한 법률 시행령,"[This Article Newly Inserted on May 10, 2016]",[본조신설 2016. 5. 10.]
헌법,남북교류협력에 관한 법률 시행령,3. Quarantine;,3. 검역
헌법,남북교류협력에 관한 법률 시행령,1. The Bank of Korea;,1. 한국은행
헌법,남북교류협력에 관한 법률 시행령,"[This Article Newly Inserted on Mar. 2, 2021]",[본조신설 2021. 3. 2.]
헌법,남북교류협력에 관한 법률 시행령,6. The Liquor Tax Act;,6. 「주세법」
헌법,남북교류협력에 관한 법률 시행령,7. The Education Tax Act;,7. 「교육세법」
헌법,남북교류협력에 관한 법률 시행령,"[This Article Newly Inserted on Jan. 6, 2012]",[본조신설 2012. 1. 6.]
헌법,남북협력기금법 시행령,3. Financial statements;,3. 재무제표
헌법,북한인권법 시행령,1. Objectives;,1. 목적
헌법,북한인권법 시행령,2. Name;,2. 명칭
헌법,통일교육 지원법,"[This Article Newly Inserted on Mar. 13, 2018]",[본조신설 2018. 3. 13.]
헌법,통일교육 지원법,"[This Article Newly Inserted on Mar. 13, 2018]",[본조신설 2018. 3. 13.]
헌법,통일교육 지원법,"[This Article Newly Inserted on Mar. 13, 2018]",[본조신설 2018. 3. 13.]
헌법,통일교육 지원법,"[This Article Newly Inserted on Mar. 13, 2018]",[본조신설 2018. 3. 13.]
헌법,통일교육 지원법,"[This Article Newly Inserted on Mar. 13, 2018]",[본조신설 2018. 3. 13.]
헌법,통일교육 지원법,"[This Article Newly Inserted on Oct. 19, 2009]",[본조신설 2009. 10. 19.]
헌법,통일교육 지원법,"[This Article Newly Inserted on Oct. 19, 2009]",[본조신설 2009. 10. 19.]
헌법,통일교육 지원법,(2) Omitted.,② 생략
헌법,헌법재판소법,"(5) Deleted. <Mar. 12, 2003>",⑤ 삭제 <2003. 3. 12.>
헌법,헌법재판소법,"[This Article Newly Inserted on Dec. 21, 2007]",[본조신설 2007. 12. 21.]
헌법,헌법재판소법,3. Holding;,3. 주문(主文)
헌법,헌법재판소법,4. Reasoning; and,4. 이유
헌법,헌법재판소법,"(2) Deleted. <Nov. 30, 1991>",② 삭제 <1991. 11. 30.>
헌법,헌법재판소법,"[This Article Newly Inserted on Dec. 29, 2009]",[본조신설 2009. 12. 29.]
헌법,헌법재판소법,(3) Omitted.,③ 생략
국회,국정감사 및 조사에 관한 법률,"[This Article Newly Inserted by Act No. 15619, Apr. 17, 2018]",[본조신설 2018. 4. 17.]
국회,국회도서관법,"[This Article Newly Inserted on Jan. 12, 2021]",[본조신설 2021. 1. 12.]
국회,국회법,"[Enforcement Date: May 30, 2022]",[시행일 : 2022. 5. 30.]
국회,국회법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
국회,국회법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
국회,국회법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
국회,국회법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
국회,국회법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
국회,국회법,"(2) Deleted; <Jul. 17, 2008>",② 삭제 <2018. 7. 17.>
국회,국회법,(4) Deleted. <Jul. 17. 2018>,④ 삭제 <2018. 7. 17.>
국회,국회법,"(5) Deleted. <Jul. 17, 2018>",⑤ 삭제 <2018. 7. 17.>
국회,국회법,"(2) Deleted; <Jul. 17, 2018>",② 삭제 <2018. 7. 17.>
국회,국회법,(4) Deleted. <Jul. 17. 2018>,④ 삭제 <2018. 7. 17.>
국회,국회법,"(5) Deleted. <Jul. 17, 2018>",⑤ 삭제 <2018. 7. 17.>
국회,국회법,"(7) Deleted. <May 18, 2021>",⑦ 삭제 <2021. 5. 18.>
국회,국회법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
국회,국회법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
국회,국회법,7. The proceedings;,7. 의사
국회,국회법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
국회,국회법,12. The proceedings;,12. 의사
국회,국회법,"[This Article Wholly Amended on Apr. 16, 2019]",[본조신설 2019. 4. 16.]
국회,국회법,"[This Article Newly Inserted on Apr. 17, 2018]",[본조신설 2018. 4. 17.]
국회,국회법,4. Expulsion.,4. 제명(除名)
국회,국회법,3. Expulsion.,3. 제명
국회,국회사무처법,(2) Omitted.,② 생략
국회,국회사무처법,(3) Omitted.,③ 생략
국회,국회사무처법,(2) Omitted.,② 생략
국회,국회입법조사처법,"[This Article Newly Inserted on Feb. 3, 2009]",[본조신설 2009. 2. 3.]
국회,국회입법조사처법,"[This Article Newly Inserted on Jan. 12, 2021]",[본조신설 2021. 1. 12.]
국회,국회입법조사처법,"[This Article Newly Inserted on Apr. 16, 2019]",[본조신설 2019. 4. 16.]
선거ㆍ정당,정치자금법,One office.,사무소 1개소
선거ㆍ정당,정치자금법,"2. Deleted; <Feb. 29, 2008>",2. 삭제 <2008. 2. 29.>
선거ㆍ정당,정치자금법,1. A presidential election:,1. 대통령선거
선거ㆍ정당,정치자금법,"(2) Deleted. <Jan. 25, 2010>",② 삭제 <2010. 1. 25.>
선거ㆍ정당,정치자금법,"[This Article Newly Inserted on Jun. 30, 2017]",[본조신설 2017. 6. 30.]
선거ㆍ정당,정치자금법,"[This Article Newly Inserted on Jan. 25, 2010]",[본조신설 2010. 1. 25.]
선거ㆍ정당,정치자금법,"[This Article Newly Inserted on Feb. 22, 2022]",[본조신설 2022. 2. 22.]
선거ㆍ정당,정치자금법,"[This Article Newly Inserted on Jan. 25, 2010]",[본조신설 2010. 1. 25.]
선거ㆍ정당,정치자금법,1. Labor cost;,1. 인건비
선거ㆍ정당,정치자금법,4. Expenses for public utility charges;,4. 공공요금
선거ㆍ정당,정치자금법,1. Political party:,1. 정당
선거ㆍ정당,정치자금법,"(5) Deleted. <Feb. 29, 2012>",⑤ 삭제 <2012. 2. 29.>
선거ㆍ정당,정치자금법,"(6) Deleted. <Feb. 29, 2012>",⑥ 삭제 <2012. 2. 29.>
